Rank,Country,Overall score,Affordability,Availability,Quality and Safety,Sustainability and Adaptation
1st,Finland,83.7,91.9,70.5,88.4,82.6
2nd,Ireland,81.7,92.6,70.5,86.1,75.1
3rd,Norway,80.5,87.2,60.4,86.8,87.4
4th,France,80.2,91.3,69.0,87.7,70.3
5th,Netherlands,80.1,92.7,70.7,84.7,69.2
6th,Japan,79.5,89.8,81.2,77.4,66.1
=7th,Sweden,79.1,91.9,68.3,85.0,68.3
=7th,Canada,79.1,88.3,75.7,89.5,60.1
9th,United Kingdom,78.8,91.5,71.6,77.6,71.1
10th,Portugal,78.7,90.0,77.0,79.8,64.5
11th,Switzerland,78.2,89.2,76.8,73.5,69.5
12th,Austria,78.1,91.3,67.1,81.2,69.7
13th,United States,78.0,87.1,65.1,88.8,69.4
=14th,Denmark,77.8,92.1,63.2,89.1,63.8
=14th,New Zealand,77.8,91.6,67.7,73.1,75.1
16th,Czech Republic,77.7,91.3,69.4,76.3,70.3
17th,Belgium,77.5,92.6,64.6,88.4,61.0
18th,Costa Rica,77.4,83.0,73.0,79.2,73.3
19th,Germany,77.0,87.9,67.0,79.9,70.8
20th,Spain,75.7,89.0,63.1,81.2,66.4
21st,Poland,75.5,87.4,63.8,81.5,66.7
22nd,Australia,75.4,93.3,61.1,84.0,58.8
23rd,United Arab Emirates,75.2,86.7,73.8,81.3,55.2
24th,Israel,74.8,88.6,67.2,87.4,52.2
=25th,Chile,74.2,82.4,68.8,77.0,66.6
=25th,China,74.2,86.4,79.2,72.0,54.5
27th,Italy,74.0,89.5,68.7,75.9,57.3
28th,Singapore,73.1,93.2,77.8,69.7,44.3
29th,Bulgaria,73.0,85.8,66.5,79.5,56.6
30th,Qatar,72.4,88.6,72.9,71.7,51.0
31st,Greece,72.2,88.5,58.3,80.8,57.3
32nd,Kazakhstan,72.1,78.0,67.2,76.3,65.4
33rd,Uruguay,71.8,80.0,65.6,73.8,65.8
34th,Hungary,71.4,86.7,63.3,74.4,57.0
35th,Oman,71.2,88.6,64.3,73.2,53.6
36th,Slovakia,71.1,89.1,55.3,77.9,57.6
37th,Peru,70.8,79.7,58.6,75.2,68.1
38th,Bahrain,70.3,91.3,60.1,76.3,47.3
39th,South Korea,70.2,76.8,71.5,71.5,58.5
40th,Panama,70.0,84.4,63.3,69.7,58.3
